,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
14,2012,SuperBowl,Sun,"February 3, 2013",boxscore,L,,N,Baltimore Ravens,31,34,23,468,286,182,2,21,367,274,93,1,,,
15,2011,Division,Sat,"January 14, 2012",boxscore,W,,,New Orleans Saints,36,32,17,407,264,143,1,26,472,435,37,5,,,
16,2011,ConfChamp,Sun,"January 22, 2012",boxscore,L,OT,,New York Giants,17,20,15,328,178,150,2,20,352,267,85,,,,
17,2002,WildCard,Sun,"January 5, 2003",boxscore,W,,,New York Giants,39,38,23,446,356,90,2,26,446,327,119,1,,,
18,2002,Division,Sun,"January 12, 2003",boxscore,L,,@,Tampa Bay Buccaneers,6,31,14,228,166,62,5,21,329,208,121,2,,,
19,2001,WildCard,Sun,"January 13, 2002",boxscore,L,,@,Green Bay Packers,15,25,19,290,219,71,2,21,368,262,106,1,,,
20,1998,WildCard,Sun,"January 3, 1999",boxscore,W,,,Green Bay Packers,30,27,20,347,169,178,3,24,403,282,121,4,,,
21,1998,Division,Sat,"January 9, 1999",boxscore,L,,@,Atlanta Falcons,18,20,15,334,288,46,3,16,289,153,136,1,,,
22,1997,Division,Sat,"January 3, 1998",boxscore,W,,,Minnesota Vikings,38,22,31,394,219,175,,16,378,321,57,1,,,
23,1997,ConfChamp,Sun,"January 11, 1998",boxscore,L,,,Green Bay Packers,10,23,15,257,224,33,2,19,325,219,106,,,,
24,1996,WildCard,Sun,"December 29, 1996",boxscore,W,,,Philadelphia Eagles,14,0,17,279,161,118,,16,283,212,71,3,,,
25,1996,Division,Sat,"January 4, 1997",boxscore,L,,@,Green Bay Packers,14,35,12,196,128,68,5,15,210,71,139,1,,,
26,1995,Division,Sat,"January 6, 1996",boxscore,L,,,Green Bay Packers,17,27,26,395,308,87,4,18,368,294,74,,,,
27,1994,Division,Sat,"January 7, 1995",boxscore,W,,,Chicago Bears,44,15,27,330,185,145,1,20,247,208,39,2,,,
28,1994,ConfChamp,Sun,"January 15, 1995",boxscore,W,,,Dallas Cowboys,38,28,19,294,155,139,1,29,451,352,99,5,,,
29,1994,SuperBowl,Sun,"January 29, 1995",boxscore,W,,N,San Diego Chargers,49,26,28,455,316,139,,20,354,287,67,3,,,
30,1993,Division,Sat,"January 15, 1994",boxscore,W,,,New York Giants,44,3,25,413,235,178,1,12,194,153,41,3,,,
31,1993,ConfChamp,Sun,"January 23, 1994",boxscore,L,,@,Dallas Cowboys,21,38,24,359,275,84,1,24,377,253,124,,,,
32,1992,Division,Sat,"January 9, 1993",boxscore,W,,,Washington Redskins,20,13,22,401,214,187,4,20,323,250,73,4,,,
33,1992,ConfChamp,Sun,"January 17, 1993",boxscore,L,,,Dallas Cowboys,20,30,24,415,301,114,4,24,416,295,121,,,,
34,1990,Division,Sat,"January 12, 1991",boxscore,W,,,Washington Redskins,28,10,20,338,292,46,1,25,441,361,80,3,,,
35,1990,ConfChamp,Sun,"January 20, 1991",boxscore,L,,,New York Giants,13,15,13,240,201,39,1,20,311,159,152,,,,
36,1989,Division,Sat,"January 6, 1990",boxscore,W,,,Minnesota Vikings,41,13,22,403,241,162,1,25,385,299,86,5,,,
37,1989,ConfChamp,Sun,"January 14, 1990",boxscore,W,,,Los Angeles Rams,30,3,29,442,263,179,2,9,156,130,26,3,,,
38,1989,SuperBowl,Sun,"January 28, 1990",boxscore,W,,N,Denver Broncos,55,10,28,461,317,144,,12,167,103,64,4,,,
39,1988,Division,Sun,"January 1, 1989",boxscore,W,,,Minnesota Vikings,34,9,20,372,171,201,2,20,262,208,54,3,,,
40,1988,ConfChamp,Sun,"January 8, 1989",boxscore,W,,@,Chicago Bears,28,3,21,406,268,138,1,15,267,176,91,2,,,
41,1988,SuperBowl,Sun,"January 22, 1989",boxscore,W,,N,Cincinnati Bengals,20,16,23,452,341,111,2,13,229,123,106,1,,,
42,1987,Division,Sat,"January 9, 1988",boxscore,L,,,Minnesota Vikings,24,36,17,358,243,115,2,22,397,280,117,1,,,
43,1986,Division,Sun,"January 4, 1987",boxscore,L,,@,New York Giants,3,49,9,184,155,29,4,21,366,150,216,,,,
44,1985,WildCard,Sun,"December 29, 1985",boxscore,L,,@,New York Giants,3,17,19,362,268,94,2,21,355,181,174,1,,,
45,1984,Division,Sat,"December 29, 1984",boxscore,W,,,New York Giants,21,10,22,412,281,131,3,18,260,173,87,3,,,
46,1984,ConfChamp,Sun,"January 6, 1985",boxscore,W,,,Chicago Bears,23,0,25,387,228,159,2,13,186,37,149,1,,,
47,1984,SuperBowl,Sun,"January 20, 1985",boxscore,W,,N,Miami Dolphins,38,16,31,537,326,211,2,19,314,289,25,2,,,
48,1983,Division,Sat,"December 31, 1983",boxscore,W,,,Detroit Lions,24,23,20,291,188,103,2,22,412,224,188,5,,,
49,1983,ConfChamp,Sun,"January 8, 1984",boxscore,L,,@,Washington Redskins,21,24,19,434,347,87,3,24,410,238,172,2,,,
50,1981,Division,Sun,"January 3, 1982",boxscore,W,,,New York Giants,38,24,24,423,288,135,1,13,346,281,65,4,,,
51,1981,ConfChamp,Sun,"January 10, 1982",boxscore,W,,,Dallas Cowboys,28,27,26,393,266,127,6,16,250,135,115,3,,,
52,1981,SuperBowl,Sun,"January 24, 1982",boxscore,W,,N,Cincinnati Bengals,26,21,20,275,148,127,1,24,356,284,72,4,,,
53,1972,Division,Sat,"December 23, 1972",boxscore,L,,,Dallas Cowboys,28,30,13,255,150,105,3,22,402,237,165,5,,,
54,1971,Division,Sun,"December 26, 1971",boxscore,W,,,Washington Redskins,24,20,11,285,173,112,,13,192,93,99,3,,,
55,1971,ConfChamp,Sun,"January 2, 1972",boxscore,L,,@,Dallas Cowboys,3,14,9,239,178,61,3,16,244,72,172,1,,,
56,1970,Division,Sun,"December 27, 1970",boxscore,W,,@,Minnesota Vikings,17,14,14,289,193,96,3,14,241,124,117,4,,,
57,1970,ConfChamp,Sun,"January 3, 1971",boxscore,L,,,Dallas Cowboys,10,17,15,307,246,61,2,22,319,90,229,1,,,
58,1957,Division,Sun,"December 22, 1957",boxscore,L,,,Detroit Lions,27,31,20,351,224,127,5,22,324,195,129,4,,,
59,1949,Division,Sun,"December 4, 1949",boxscore,W,,,New York Yankees,17,7,10,260,96,164,3,9,191,116,75,3,,,
60,1949,Championship,Sun,"December 11, 1949",boxscore,L,,@,Cleveland Browns,7,21,14,230,108,122,,16,345,128,217,,,,
