Coach_Name,Background,Offensive_Years,Defensive_Years
John Ralston,Offensive,1,0
John Rauch,Offensive,4,0
John Robinson,Offensive,3,1
John Sandusky,Both,29,6
John Whelchel,Other,0,0
Johnny Blood,Other,0,0
Johnny Bryan,Other,0,0
Johnny Murphy,Other,0,0
Jon Gruden,Offensive,10,0
Jonathan Gannon,Defensive,0,12
Josh McDaniels,Offensive,17,2
June Jones,Offensive,13,0
Kay Stephenson,Offensive,8,0
Keith Molesworth,Other,0,0
Kellen Moore,Offensive,7,0
Ken Huffine,Other,0,0
Ken Meyer,Offensive,27,0
Ken Shipp,Offensive,11,0
Ken Whisenhunt,Offensive,16,0
Kevin Gilbride,Both,23,6
Kevin O'Connell,Offensive,7,0
Kevin Stefanski,Offensive,11,0
Kliff Kingsbury,Offensive,7,0
Kyle Shanahan,Offensive,13,0
Lane Kiffin,Offensive,10,1
Larry Wilson,Other,0,0
Leeman Bennett,Offensive,6,0
Lenny Sachs,Other,0,0
Leo Lyons,Other,0,0
Les Steckel,Offensive,20,0
Leslie Frazier,Defensive,0,17
Liam Coen,Offensive,15,0
Lindy Infante,Offensive,13,0
Lisle Blackbourn,Other,0,0
Lone Star Dietz,Other,0,0
Lou Holtz,Defensive,0,5
Lou Mahrt,Other,0,0
Lou Rymkus,Offensive,5,0
Lou Saban,Other,0,0
Lovie Smith,Defensive,0,22
Luby DiMeolo,Other,0,0
Lud Wray,Other,0,0
Luke Johnsos,Other,0,0
Mac Speedie,Offensive,4,0
Mal Stevens,Other,0,0
Marc Trestman,Offensive,22,0
Marion Campbell,Defensive,0,21
Marty Brill,Other,0,0
Marty Feldman,Other,0,0
Marty Mornhinweg,Offensive,20,0
Marty Schottenheimer,Defensive,0,11
Marv Levy,Other,0,0
Marvin Lewis,Defensive,0,23
Matt Eberflus,Defensive,0,29
Matt LaFleur,Offensive,16,0
Matt Nagy,Offensive,11,0
Matt Patricia,Both,3,15
Matt Rhule,Both,6,6
Max Hicks,Other,0,0
Mel Doherty,Other,0,0
Mel Hein,Offensive,1,0
Mel Tucker,Defensive,1,17
Mike Ditka,Offensive,9,0
Mike Getto,Other,0,0
Mike Holmgren,Offensive,15,0
Mike Holovak,Offensive,2,0
Mike Macdonald,Defensive,2,11
Mike Martz,Offensive,21,0
Mike McCarthy,Offensive,14,0
Mike McCormack,Offensive,6,2
Mike McCoy,Offensive,17,0
Mike McDaniel,Offensive,16,0
Mike Mularkey,Offensive,18,0
Mike Munchak,Offensive,25,0
Mike Nixon,Offensive,3,0
Mike Nolan,Defensive,1,33
Mike Palm,Other,0,0
Mike Pettine,Defensive,0,13
Mike Riley,Defensive,1,10
Mike Shanahan,Offensive,16,0
Mike Sherman,Offensive,20,0
Mike Singletary,Defensive,0,4
Mike Smith,Defensive,0,19
Mike Tice,Offensive,12,0
Mike Tomlin,Defensive,2,9
Mike Vrabel,Defensive,0,7
Mike White,Both,18,6
Mike Zimmer,Defensive,0,31
Milan Creighton,Other,0,0
Monte Clark,Offensive,9,0
Nathaniel Hackett,Offensive,19,1
Ned Mathews,Other,0,0
Neill Armstrong,Defensive,0,8
Nelson Talbot,Other,0,0
Nick Saban,Defensive,0,19
Nick Sirianni,Offensive,15,2
Nick Skorich,Both,3,4
Norb Hecker,Defensive,0,25
Norm Barry,Other,0,0
Norm Van Brocklin,Other,0,0
Norv Turner,Offensive,27,1
Ollie Kraehe,Other,0,0
Otto Graham,Other,0,0
Paddy Driscoll,Other,0,0
Pat Boland,Other,0,0
Pat Peppler,Other,0,0
Pat Shurmur,Offensive,30,0
Paul Brown,Other,0,0
Paul Schissler,Other,0,0
Paul Wiggin,Defensive,0,16
Perry Fewell,Both,4,28
Pete Carroll,Defensive,1,17
Pete Cawthon,Other,0,0
Pete Henry,Other,0,0
Pete McCulley,Offensive,16,0
Pete Stinchcomb,Other,0,0
Phil Bengtson,Defensive,0,18
Phil Handler,Both,5,3
Pop Ivy,Defensive,1,2
Potsy Clark,Other,0,0
Punk Berryman,Other,0,0
Raheem Morris,Both,4,17
Ralph Jones,Other,0,0
