Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2010,518,5820,986,5.9,10,5,335,331,507,3847,37,5,7.2,196,454,1973,19,4.3,119,83,766,20,166,47.0,5.4,Own 32.1,2:50,6.09,35.0,2.76,197,95,48.2%,14,7,50.0%,67,42,62.7%
2009,427,6357,1076,5.9,22,9,373,390,592,4436,28,13,7.3,222,466,1921,19,4.1,114,81,743,37,178,41.0,12.4,Own 30.0,2:58,6.22,35.7,2.29,206,90,43.7%,22,11,50.0%,65,34,52.3%
2008,410,5847,1095,5.3,21,10,356,339,534,3569,21,11,6.1,186,513,2278,21,4.4,145,57,501,25,174,44.8,11.5,Own 33.3,2:59,6.52,33.5,2.31,222,96,43.2%,22,17,77.3%,65,33,50.8%
2007,589,6580,1058,6.2,15,6,393,403,586,4731,50,9,7.8,243,451,1849,17,4.1,124,78,690,26,167,52.7,7.8,Own 32.3,3:07,6.48,39.3,3.19,191,92,48.2%,21,15,71.4%,72,50,69.4%
2006,385,5369,1055,5.1,27,15,330,326,527,3400,25,12,6.1,181,499,1969,20,3.9,121,98,940,28,189,34.4,13.8,Own 32.6,2:40,5.72,28.5,1.98,226,96,42.5%,20,16,80.0%,60,36,60.0%
2005,379,5632,1031,5.5,24,9,334,352,564,4120,28,15,7.0,204,439,1512,16,3.4,101,110,921,29,184,34.8,13.0,Own 30.0,2:38,5.74,30.6,2.00,221,93,42.1%,17,13,76.5%,58,37,63.8%
2004,437,5722,1035,5.5,27,13,344,293,485,3588,29,14,7.0,193,524,2134,15,4.1,120,101,822,31,178,42.1,14.6,Own 31.4,2:49,6.01,32.1,2.25,206,93,45.1%,10,4,40.0%,63,37,58.7%
2003,348,5039,1042,4.8,24,11,294,320,537,3432,23,13,6.0,177,473,1607,9,3.4,91,111,998,26,204,27.9,11.3,Own 33.3,2:29,5.27,24.6,1.47,227,84,37.0%,14,6,42.9%,50,22,44.0%
2002,381,5085,1031,4.9,24,10,304,374,605,3577,28,14,5.6,184,395,1508,9,3.8,99,108,895,21,185,34.6,11.9,Own 33.8,2:32,5.74,27.3,1.84,220,94,42.7%,20,9,45.0%,49,26,53.1%
2001,371,4882,1001,4.9,28,13,292,306,482,3089,21,15,5.9,163,473,1793,15,3.8,101,92,802,28,185,32.4,14.6,Own 32.6,2:41,5.57,26.2,1.75,221,91,41.2%,17,7,41.2%,52,25,48.1%
2000,276,4571,1037,4.4,25,10,283,328,565,3181,18,15,5.2,172,424,1390,9,3.3,80,99,815,31,195,27.7,12.8,Own 32.3,2:25,5.49,23.2,1.38,234,82,35.0%,26,13,50.0%,53,23,43.4%
1999,299,5062,1021,5.0,33,12,280,305,540,3636,19,21,6.1,184,425,1426,9,3.4,72,95,812,24,206,26.2,15.5,Own 33.0,2:16,5.12,24.5,1.33,223,79,35.4%,13,4,30.8%,46,17,37.0%
1998,337,5140,999,5.1,24,7,281,295,556,3660,23,17,6.1,184,403,1480,9,3.7,68,108,853,29,,,,,,,,,,,,,,,,,
1997,369,5014,960,5.2,22,7,267,321,532,3550,31,15,6.3,173,398,1464,6,3.7,71,99,845,23,,,,,,,,,,,,,,,,,
1996,418,5369,1085,4.9,27,12,339,374,628,3901,27,15,5.9,206,427,1468,15,3.4,103,97,716,30,,,,,,,,,,,,,,,,,
1995,294,5457,1187,4.6,36,20,335,351,686,3591,14,16,5.0,207,474,1866,16,3.9,106,84,676,22,,,,,,,,,,,,,,,,,
1994,351,5776,1199,4.8,38,11,348,405,699,4444,25,27,6.2,243,478,1332,12,2.8,83,78,597,22,,,,,,,,,,,,,,,,,
1993,238,5065,1091,4.6,34,10,315,289,566,3285,17,24,5.6,169,502,1780,9,3.5,116,64,468,30,,,,,,,,,,,,,,,,,
1992,205,3584,928,3.9,45,26,215,244,444,2034,13,19,4.0,130,419,1550,6,3.7,71,111,1051,14,,,,,,,,,,,,,,,,,
1991,211,4473,977,4.6,42,20,259,284,481,3006,11,22,5.5,155,433,1467,9,3.4,93,97,667,11,,,,,,,,,,,,,,,,,
1990,181,4163,955,4.4,36,16,239,274,514,2765,14,20,4.8,156,383,1398,4,3.7,65,99,744,18,,,,,,,,,,,,,,,,,
1989,297,5456,1129,4.8,39,12,335,302,610,3707,17,27,5.8,187,485,1749,12,3.6,114,63,509,34,,,,,,,,,,,,,,,,,
1988,250,4293,1000,4.3,38,10,264,199,389,2173,12,28,5.3,112,588,2120,17,3.6,126,87,665,26,,,,,,,,,,,,,,,,,
1987,320,4454,986,4.5,31,13,266,236,440,2683,22,18,5.7,158,513,1771,12,3.5,84,64,506,24,,,,,,,,,,,,,,,,,
1986,412,5327,1073,5.0,24,11,314,340,557,3954,29,13,6.5,202,469,1373,10,2.9,77,87,672,35,,,,,,,,,,,,,,,,,
1985,362,5499,1061,5.2,42,20,294,255,457,3168,20,22,6.4,153,565,2331,15,4.1,126,114,842,15,,,,,,,,,,,,,,,,,
1984,362,5263,1048,5.0,29,15,315,292,500,3231,26,14,5.7,186,482,2032,15,4.2,104,86,674,25,,,,,,,,,,,,,,,,,
1983,274,5311,995,5.3,38,20,284,220,412,2706,16,18,5.9,138,538,2605,19,4.8,130,90,815,16,,,,,,,,,,,,,,,,,
1982,143,2633,526,5.0,17,8,146,93,187,1286,12,9,6.4,63,324,1347,3,4.2,74,52,412,9,,,,,,,,,,,,,,,,,
1981,322,5623,1026,5.5,50,16,306,254,482,3583,17,34,6.8,166,499,2040,23,4.1,124,89,742,16,,,,,,,,,,,,,,,,,
1980,441,5435,1026,5.3,36,9,319,240,413,3195,27,27,7.3,154,588,2240,19,3.8,139,79,696,26,,,,,,,,,,,,,,,,,
1979,411,5470,1128,4.8,39,16,318,237,475,3218,30,23,6.1,159,604,2252,16,3.7,132,99,864,27,,,,,,,,,,,,,,,,,
1978,358,5965,1085,5.5,46,21,322,196,390,2800,15,25,6.8,125,671,3165,30,4.7,181,92,852,16,,,,,,,,,,,,,,,,,
1977,278,4310,922,4.7,36,15,247,160,305,2007,17,21,6.3,101,603,2303,13,3.8,132,112,931,14,,,,,,,,,,,,,,,,,
1976,376,4694,919,5.1,36,16,260,146,309,1746,18,20,5.3,95,591,2948,24,5.0,150,102,914,15,,,,,,,,,,,,,,,,,
1975,258,4283,912,4.7,50,22,253,193,401,2438,16,28,5.5,133,472,1845,14,3.9,94,89,719,26,,,,,,,,,,,,,,,,,
1974,348,4474,900,5.0,38,15,255,177,359,2340,19,23,6.2,113,520,2134,21,4.1,123,87,843,19,,,,,,,,,,,,,,,,,
1973,258,3843,871,4.4,42,25,237,195,380,2231,13,17,5.4,122,454,1612,15,3.6,97,50,550,18,,,,,,,,,,,,,,,,,
1972,192,3659,842,4.3,38,10,236,198,412,2127,10,28,4.7,126,386,1532,13,4.0,86,66,761,24,,,,,,,,,,,,,,,,,
1971,238,3556,785,4.5,32,16,190,159,330,1887,19,16,5.2,94,419,1669,7,4.0,85,67,657,11,,,,,,,,,,,,,,,,,
1970,149,2626,768,3.4,41,13,184,176,392,1586,7,28,3.7,98,334,1040,11,3.1,63,88,849,23,,,,,,,,,,,,,,,,,
1969,266,3419,729,4.7,28,10,166,162,338,1930,19,18,5.3,87,367,1489,11,4.1,64,77,837,15,,,,,,,,,,,,,,,,,
1968,229,3127,868,3.6,53,20,181,160,409,1765,16,33,3.9,94,421,1362,8,3.2,69,67,682,18,,,,,,,,,,,,,,,,,
1967,280,4027,870,4.6,54,22,219,191,434,2423,20,32,5.1,120,391,1604,10,4.1,80,59,520,19,,,,,,,,,,,,,,,,,
1966,315,4536,889,5.1,34,13,243,186,393,2573,20,21,6.2,121,471,1963,17,4.2,100,64,601,22,,,,,,,,,,,,,,,,,
1965,244,3624,883,4.1,41,12,214,193,473,2507,19,29,4.9,130,373,1117,8,3.0,55,58,537,29,,,,,,,,,,,,,,,,,
1964,365,4527,886,5.1,39,12,226,229,476,3166,31,27,6.3,144,381,1361,9,3.6,66,51,447,16,,,,,,,,,,,,,,,,,
1963,327,4175,875,4.8,41,12,227,184,410,2557,17,29,5.8,107,433,1618,16,3.7,100,64,614,20,,,,,,,,,,,,,,,,,
1962,346,4736,837,5.7,33,20,230,195,382,2766,25,13,6.8,114,432,1970,11,4.6,100,52,456,16,,,,,,,,,,,,,,,,,
1961,413,4214,842,5.0,30,9,238,206,420,2539,29,21,5.6,120,389,1675,14,4.3,93,64,659,25,,,,,,,,,,,,,,,,,
1960,286,4083,876,4.7,45,22,234,223,475,2604,25,23,5.1,126,365,1479,11,4.1,86,69,730,22,,,,,,,,,,,,,,,,,
