Year,Week,Day,Date,, Offense,OT, Defense,Opp,Tm,Opp_2,1stD,TotYd,PassY,RushY,TO,1stD_3,TotYd_4,PassY_5,RushY_6,TO_7,Offense,Defense,Sp. Tms
2013,Division,Sat,"January 11, 2014",boxscore,W,,,Indianapolis Colts,43,22,23,419,185,234,,16,386,317,69,4,,,
2013,ConfChamp,Sun,"January 19, 2014",boxscore,L,,@,Denver Broncos,16,26,19,320,256,64,,27,507,400,107,,,,
2012,Division,Sun,"January 13, 2013",boxscore,W,,,Houston Texans,41,28,24,457,335,122,,25,425,334,91,1,,,
2012,ConfChamp,Sun,"January 20, 2013",boxscore,L,,,Baltimore Ravens,13,28,28,428,320,108,3,25,356,235,121,,,,
2011,Division,Sat,"January 14, 2012",boxscore,W,,,Denver Broncos,45,10,31,509,363,146,2,15,252,108,144,1,,,
2011,ConfChamp,Sun,"January 22, 2012",boxscore,W,,,Baltimore Ravens,23,20,25,330,234,96,3,19,398,282,116,1,,,
2011,SuperBowl,Sun,"February 5, 2012",boxscore,L,,N,New York Giants,17,21,21,349,266,83,1,26,396,282,114,,,,
2010,Division,Sun,"January 16, 2011",boxscore,L,,,New York Jets,21,28,26,372,259,113,1,14,314,194,120,,,,
2009,WildCard,Sun,"January 10, 2010",boxscore,L,,,Baltimore Ravens,14,33,15,196,132,64,4,16,268,34,234,2,,,
2007,Division,Sat,"January 12, 2008",boxscore,W,,,Jacksonville Jaguars,31,20,24,403,258,145,,22,350,270,80,2,,,
2007,ConfChamp,Sun,"January 20, 2008",boxscore,W,,,San Diego Chargers,21,12,25,347,198,149,3,17,311,207,104,2,,,
2007,SuperBowl,Sun,"February 3, 2008",boxscore,L,,N,New York Giants,14,17,22,274,229,45,1,17,338,247,91,1,,,
2006,WildCard,Sun,"January 7, 2007",boxscore,W,,,New York Jets,37,16,26,358,200,158,1,18,347,277,70,2,,,
2006,Division,Sun,"January 14, 2007",boxscore,W,,@,San Diego Chargers,24,21,18,327,276,51,3,21,352,204,148,4,,,
2006,ConfChamp,Sun,"January 21, 2007",boxscore,L,,@,Indianapolis Colts,34,38,17,319,226,93,1,32,455,330,125,1,,,
2005,WildCard,Sat,"January 7, 2006",boxscore,W,,,Jacksonville Jaguars,28,3,17,307,189,118,,15,292,205,87,2,,,
2005,Division,Sat,"January 14, 2006",boxscore,L,,@,Denver Broncos,13,27,15,420,341,79,5,16,286,190,96,1,,,
2004,Division,Sun,"January 16, 2005",boxscore,W,,,Indianapolis Colts,20,3,21,325,115,210,,18,276,230,46,3,,,
2004,ConfChamp,Sun,"January 23, 2005",boxscore,W,,@,Pittsburgh Steelers,41,27,18,322,196,126,,19,388,225,163,4,,,
2004,SuperBowl,Sun,"February 6, 2005",boxscore,W,,N,Philadelphia Eagles,24,21,21,331,219,112,1,24,369,324,45,4,,,
2003,Division,Sat,"January 10, 2004",boxscore,W,,,Tennessee Titans,17,14,18,297,201,96,1,16,284,200,84,1,,,
2003,ConfChamp,Sun,"January 18, 2004",boxscore,W,,,Indianapolis Colts,24,14,20,349,237,112,2,21,306,208,98,5,,,
2003,SuperBowl,Sun,"February 1, 2004",boxscore,W,,N,Carolina Panthers,32,29,29,481,354,127,1,17,387,295,92,1,,,
2001,Division,Sat,"January 19, 2002",boxscore,W,OT,,Oakland Raiders,16,13,22,365,297,68,1,14,230,153,77,,,,
2001,ConfChamp,Sun,"January 27, 2002",boxscore,W,,@,Pittsburgh Steelers,24,17,15,259,192,67,,23,306,248,58,4,,,
2001,SuperBowl,Sun,"February 3, 2002",boxscore,W,,N,St. Louis Rams,20,17,15,267,134,133,,26,427,337,90,3,,,
1998,WildCard,Sun,"January 3, 1999",boxscore,L,,@,Jacksonville Jaguars,10,25,14,206,171,35,3,17,308,148,160,,,,
1997,WildCard,Sun,"December 28, 1997",boxscore,W,,,Miami Dolphins,17,3,15,228,120,108,,10,162,120,42,3,,,
1997,Division,Sat,"January 3, 1998",boxscore,L,,@,Pittsburgh Steelers,6,7,15,280,244,36,4,16,279,134,145,1,,,
1996,Division,Sun,"January 5, 1997",boxscore,W,,,Pittsburgh Steelers,28,3,17,346,152,194,2,12,213,90,123,2,,,
1996,ConfChamp,Sun,"January 12, 1997",boxscore,W,,,Jacksonville Jaguars,20,6,13,234,161,73,2,18,289,188,101,4,,,
1996,SuperBowl,Sun,"January 26, 1997",boxscore,L,,N,Green Bay Packers,21,35,16,257,214,43,4,16,323,208,115,,,,
1994,WildCard,Sun,"January 1, 1995",boxscore,L,,@,Cleveland Browns,13,20,20,303,246,57,3,22,379,254,125,1,,,
1986,Division,Sun,"January 4, 1987",boxscore,L,,@,Denver Broncos,17,22,12,271,150,121,,23,441,253,188,2,,,
1985,WildCard,Sat,"December 28, 1985",boxscore,W,,@,New York Jets,26,14,12,258,159,99,,15,240,182,58,4,,,
1985,Division,Sun,"January 5, 1986",boxscore,W,,@,Los Angeles Raiders,27,20,15,254,98,156,2,17,287,124,163,6,,,
1985,ConfChamp,Sun,"January 12, 1986",boxscore,W,,@,Miami Dolphins,31,14,21,326,71,255,2,18,302,234,68,6,,,
1985,SuperBowl,Sun,"January 26, 1986",boxscore,L,,N,Chicago Bears,10,46,12,123,116,7,6,23,408,241,167,2,,,
1982,WildCard,Sat,"January 8, 1983",boxscore,L,,@,Miami Dolphins,13,28,14,237,160,77,3,27,448,234,214,3,,,
1978,Division,Sun,"December 31, 1978",boxscore,L,,,Houston Oilers,14,31,15,263,180,83,3,21,344,170,174,1,,,
1976,Division,Sat,"December 18, 1976",boxscore,L,,@,Oakland Raiders,21,24,23,331,167,164,3,20,282,201,81,1,,,
1963,Division,Sat,"December 28, 1963",boxscore,W,,@,Buffalo Bills,26,8,16,375,292,83,1,13,286,279,7,6,,,
1963,Championship,Sun,"January 5, 1964",boxscore,L,,@,San Diego Chargers,10,51,14,261,186,75,2,21,610,292,318,1,,,
