,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
26,1988,Division,Sun,"January 1, 1989",boxscore,L,,@,San Francisco 49ers,9,34,20,262,208,54,3,20,372,171,201,2,,,
27,1987,WildCard,Sun,"January 3, 1988",boxscore,W,,@,New Orleans Saints,44,10,28,417,207,210,2,9,149,96,53,6,,,
28,1987,Division,Sat,"January 9, 1988",boxscore,W,,@,San Francisco 49ers,36,24,22,397,280,117,1,17,358,243,115,2,,,
29,1987,ConfChamp,Sun,"January 17, 1988",boxscore,L,,@,Washington Redskins,10,17,16,259,183,76,1,11,280,119,161,,,,
30,1982,WildCard,Sun,"January 9, 1983",boxscore,W,,,Atlanta Falcons,30,24,30,378,253,125,1,24,235,115,120,2,,,
31,1982,Division,Sat,"January 15, 1983",boxscore,L,,@,Washington Redskins,7,21,15,317,238,79,,23,415,211,204,1,,,
32,1980,Division,Sat,"January 3, 1981",boxscore,L,,@,Philadelphia Eagles,16,31,14,215,179,36,8,24,305,179,126,3,,,
33,1978,Division,Sun,"December 31, 1978",boxscore,L,,@,Los Angeles Rams,10,34,12,244,208,36,2,25,409,209,200,1,,,
34,1977,Division,Mon,"December 26, 1977",boxscore,W,,@,Los Angeles Rams,14,7,14,189,45,144,,14,267,118,149,3,,,
35,1977,ConfChamp,Sun,"January 1, 1978",boxscore,L,,@,Dallas Cowboys,6,23,12,214,148,66,4,16,328,158,170,2,,,
36,1976,Division,Sat,"December 18, 1976",boxscore,W,,,Washington Redskins,35,20,21,384,163,221,2,19,365,290,75,2,,,
37,1976,ConfChamp,Sun,"December 26, 1976",boxscore,W,,,Los Angeles Rams,24,13,13,267,109,158,2,21,336,143,193,4,,,
38,1976,SuperBowl,Sun,"January 9, 1977",boxscore,L,,N,Oakland Raiders,14,32,20,353,282,71,3,21,429,163,266,,,,
39,1975,Division,Sun,"December 28, 1975",boxscore,L,,,Dallas Cowboys,14,17,12,215,100,115,1,19,356,225,131,1,,,
40,1974,Division,Sat,"December 21, 1974",boxscore,W,,,St. Louis Cardinals,30,14,19,365,166,199,2,17,284,184,100,2,,,
41,1974,ConfChamp,Sun,"December 29, 1974",boxscore,W,,,Los Angeles Rams,14,10,18,269,105,164,3,15,340,219,121,5,,,
42,1974,SuperBowl,Sun,"January 12, 1975",boxscore,L,,N,Pittsburgh Steelers,6,16,9,119,102,17,5,17,333,84,249,2,,,
43,1973,Division,Sat,"December 22, 1973",boxscore,W,,,Washington Redskins,27,20,17,359,218,141,2,18,314,159,155,2,,,
44,1973,ConfChamp,Sun,"December 30, 1973",boxscore,W,,@,Dallas Cowboys,27,10,20,306,103,203,4,9,153,63,90,6,,,
45,1973,SuperBowl,Sun,"January 13, 1974",boxscore,L,,N,Miami Dolphins,7,24,14,238,166,72,2,21,259,63,196,,,,
46,1971,Division,Sat,"December 25, 1971",boxscore,L,,,Dallas Cowboys,12,20,17,311,210,101,5,10,183,85,98,,,,
47,1970,Division,Sun,"December 27, 1970",boxscore,L,,,San Francisco 49ers,14,17,14,241,124,117,4,14,289,193,96,3,,,
48,1969,Division,Sat,"December 27, 1969",boxscore,W,,,Los Angeles Rams,23,20,18,275,178,97,3,19,255,129,126,1,,,
49,1969,ConfChamp,Sun,"January 4, 1970",boxscore,W,,,Cleveland Browns,27,7,18,383,161,222,,14,268,171,97,3,,,
50,1969,SuperBowl,Sun,"January 11, 1970",boxscore,L,,N,Kansas City Chiefs,7,23,13,239,172,67,5,18,273,122,151,1,,,
51,1968,Division,Sun,"December 22, 1968",boxscore,L,,@,Baltimore Colts,14,24,22,351,266,85,3,15,295,245,50,2,,,
