Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1988,233,4091,952,4.3,53,17,243,219,480,2489,12,36,4.8,132,435,1602,10,3.7,85,91,753,26,,,,,,,,,,,,,,,,,
1987,335,4824,979,4.9,37,11,281,278,498,3100,24,26,5.8,159,440,1724,9,3.9,95,107,964,27,,,,,,,,,,,,,,,,,
1986,273,5012,1013,4.9,42,18,286,276,494,3216,16,24,6.0,155,481,1796,10,3.7,106,99,806,25,,,,,,,,,,,,,,,,,
1985,359,5464,1065,5.1,44,22,324,280,490,3241,20,22,6.2,163,542,2223,16,4.1,139,123,1000,22,,,,,,,,,,,,,,,,,
1984,484,6352,1062,6.0,29,18,342,319,490,3779,35,11,7.3,182,547,2573,20,4.7,144,113,1047,16,,,,,,,,,,,,,,,,,
1983,348,5487,1104,5.0,48,23,318,263,478,2903,23,25,5.5,150,579,2584,16,4.5,147,92,759,21,,,,,,,,,,,,,,,,,
1982,198,2895,582,5.0,21,9,159,157,292,1875,11,12,5.8,87,260,1020,8,3.9,53,48,399,19,,,,,,,,,,,,,,,,,
1981,369,5373,1054,5.1,35,19,299,265,481,3328,26,16,6.5,163,540,2045,15,3.8,117,115,991,19,,,,,,,,,,,,,,,,,
1980,308,5856,1060,5.5,38,14,330,283,499,3400,24,24,6.4,170,531,2456,15,4.6,135,111,914,25,,,,,,,,,,,,,,,,,
1979,337,5223,1037,5.0,33,11,297,229,424,2697,14,22,5.9,133,583,2526,24,4.3,148,93,786,16,,,,,,,,,,,,,,,,,
1978,306,4806,1034,4.6,43,21,278,240,442,2690,15,22,5.7,137,559,2116,20,3.8,120,110,1013,21,,,,,,,,,,,,,,,,,
1977,227,3799,890,4.3,29,13,212,149,312,1581,15,16,4.6,80,548,2218,11,4.0,119,82,688,13,,,,,,,,,,,,,,,,,
1976,176,3671,855,4.3,32,13,207,158,323,1575,8,19,4.3,91,487,2096,14,4.3,103,76,653,13,,,,,,,,,,,,,,,,,
1975,180,3153,789,4.0,42,14,190,175,360,1621,14,28,4.0,93,383,1532,7,4.0,77,91,781,20,,,,,,,,,,,,,,,,,
1974,195,3907,864,4.5,33,11,230,214,396,2302,8,22,5.4,120,437,1605,12,3.7,100,70,660,10,,,,,,,,,,,,,,,,,
1973,168,3868,857,4.5,36,15,220,198,377,1894,8,21,4.7,99,450,1974,5,4.4,106,58,633,15,,,,,,,,,,,,,,,,,
1972,252,3701,806,4.6,40,14,200,169,331,1699,13,26,4.8,82,454,2002,13,4.4,103,47,490,15,,,,,,,,,,,,,,,,,
1971,139,3406,879,3.9,45,18,194,206,405,1806,10,27,4.2,88,447,1600,2,3.6,88,57,615,18,,,,,,,,,,,,,,,,,
1970,143,2803,814,3.4,44,16,168,195,367,1438,6,28,3.5,89,398,1365,4,3.4,68,58,586,11,,,,,,,,,,,,,,,,,
1969,133,2720,796,3.4,42,12,158,213,410,1631,8,30,3.6,88,337,1089,4,3.2,55,69,795,15,,,,,,,,,,,,,,,,,
1968,242,3758,791,4.8,38,22,210,185,315,1855,16,16,5.2,98,432,1903,8,4.4,98,74,875,14,,,,,,,,,,,,,,,,,
1967,294,3856,850,4.5,35,19,217,149,314,1752,17,16,5.0,90,500,2104,12,4.2,105,90,906,22,,,,,,,,,,,,,,,,,
1966,304,3922,828,4.7,22,8,213,206,391,2236,13,14,5.4,116,412,1686,15,4.1,85,67,667,12,,,,,,,,,,,,,,,,,
1965,403,4248,788,5.4,30,11,242,187,357,2493,31,19,6.6,120,408,1755,17,4.3,99,66,643,23,,,,,,,,,,,,,,,,,
1964,296,4340,800,5.4,35,16,216,182,375,2724,23,19,6.6,105,389,1616,10,4.2,94,70,708,17,,,,,,,,,,,,,,,,,
1963,390,4731,859,5.5,42,31,258,233,404,2998,31,11,6.7,143,410,1733,12,4.2,103,59,621,12,,,,,,,,,,,,,,,,,
1962,410,5101,860,5.9,43,18,266,214,397,3123,29,25,7.9,139,463,1978,20,4.3,119,68,633,8,,,,,,,,,,,,,,,,,
1961,407,5593,858,6.5,45,23,291,194,365,2926,21,22,8.0,132,493,2667,29,5.4,147,65,638,12,,,,,,,,,,,,,,,,,
