Year,Week,Day,Date,, Offense,OT, Defense,Opp,Tm,Opp_2,1stD,TotYd,PassY,RushY,TO,1stD_3,TotYd_4,PassY_5,RushY_6,TO_7,Offense,Defense,Sp. Tms
1966,ConfChamp,Sun,"January 1, 1967",boxscore,W,,@,Dallas Cowboys,34,27,19,367,265,102,1,23,418,231,187,2,,,
1966,SuperBowl,Sun,"January 15, 1967",boxscore,W,,N,Kansas City Chiefs,35,10,21,358,228,130,1,17,239,167,72,1,,,
1965,Division,Sun,"December 26, 1965",boxscore,W,OT,,Baltimore Colts,13,10,23,362,250,112,4,9,175,32,143,1,,,
1965,Championship,Sun,"January 2, 1966",boxscore,W,,,Cleveland Browns,23,12,21,332,128,204,1,8,161,97,64,2,,,
1962,Championship,Sun,"December 30, 1962",boxscore,W,,@,New York Giants,16,7,18,244,96,148,,18,291,197,94,3,,,
1961,Championship,Sun,"December 31, 1961",boxscore,W,,,New York Giants,37,0,19,345,164,181,,6,130,99,31,5,,,
1960,Championship,Mon,"December 26, 1960",boxscore,L,,@,Philadelphia Eagles,13,17,22,401,178,223,1,13,296,197,99,3,,,
1944,Championship,Sun,"December 17, 1944",boxscore,W,,@,New York Giants,14,7,11,237,74,163,3,10,199,114,85,4,,,
1941,Division,Sun,"December 14, 1941",boxscore,L,,@,Chicago Bears,14,33,12,255,222,33,4,14,325,48,277,3,,,
1939,Championship,Sun,"December 10, 1939",boxscore,W,,,New York Giants,27,0,13,232,96,136,3,9,164,94,70,6,,,
1938,Championship,Sun,"December 11, 1938",boxscore,L,,@,New York Giants,17,23,14,378,214,164,3,10,212,97,115,1,,,
1936,Championship,Sun,"December 13, 1936",boxscore,W,,@,Boston Redskins,21,6,7,232,161,71,3,8,147,81,66,3,,,
