Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1995,356,5648,1082,5.2,24,7,342,360,573,3822,23,17,6.3,200,480,1826,15,3.8,112,108,736,30,,,,,,,,,,,,,,,,,
1994,204,4826,1090,4.4,31,13,304,325,587,3157,13,18,5.1,173,465,1669,9,3.6,98,129,1139,33,,,,,,,,,,,,,,,,,
1993,307,4778,1040,4.6,22,9,290,306,541,3124,19,13,5.3,170,451,1654,9,3.7,94,105,821,26,,,,,,,,,,,,,,,,,
1992,275,4757,963,4.9,33,20,281,291,486,3152,23,13,5.9,170,429,1605,5,3.7,86,93,764,25,,,,,,,,,,,,,,,,,
1991,298,5084,1004,5.1,33,18,298,312,522,3209,20,15,5.8,179,447,1875,12,4.2,100,103,770,19,,,,,,,,,,,,,,,,,
1990,462,5190,987,5.3,22,9,314,253,444,3085,32,13,6.5,169,511,2105,21,4.1,117,95,684,28,,,,,,,,,,,,,,,,,
1989,254,4831,1031,4.7,38,11,276,269,540,3161,20,27,5.4,161,446,1670,8,3.7,93,122,985,22,,,,,,,,,,,,,,,,,
1988,288,4767,1009,4.7,31,11,301,245,474,2847,13,20,5.6,162,498,1920,13,3.9,114,100,789,25,,,,,,,,,,,,,,,,,
1987,239,4264,902,4.7,36,13,251,246,467,2831,15,23,5.7,134,401,1433,7,3.6,86,120,1008,31,,,,,,,,,,,,,,,,,
1986,310,5269,1047,5.0,37,19,302,291,518,3288,21,18,5.9,171,494,1981,12,4.0,113,101,754,18,,,,,,,,,,,,,,,,,
1985,294,4958,1050,4.7,27,9,297,289,509,3107,18,18,5.6,172,497,1851,14,3.7,106,102,773,19,,,,,,,,,,,,,,,,,
1984,297,4641,995,4.7,35,15,270,261,458,2696,15,20,5.4,145,494,1945,10,3.9,103,108,765,22,,,,,,,,,,,,,,,,,
1983,342,5142,1029,5.0,32,10,309,280,469,3077,22,22,6.1,155,528,2065,15,3.9,138,105,940,16,,,,,,,,,,,,,,,,,
1982,182,3114,594,5.2,28,11,189,144,266,1822,9,17,6.3,94,306,1292,13,4.2,82,57,436,13,,,,,,,,,,,,,,,,,
1981,375,5367,1014,5.3,35,20,299,275,469,3289,28,15,6.6,157,516,2078,14,4.0,119,100,870,23,,,,,,,,,,,,,,,,,
1980,310,5626,1053,5.3,32,10,340,336,536,3865,23,22,6.8,197,485,1761,12,3.6,105,96,766,38,,,,,,,,,,,,,,,,,
1979,352,5650,1076,5.3,32,16,307,271,468,3046,14,16,6.1,158,577,2604,25,4.5,136,118,1018,13,,,,,,,,,,,,,,,,,
1978,356,5352,1083,4.9,45,18,329,265,489,3203,20,27,6.2,175,563,2149,19,3.8,116,131,1110,38,,,,,,,,,,,,,,,,,
1977,267,4115,895,4.6,39,16,261,184,340,2017,15,23,5.4,116,524,2098,14,4.0,113,117,979,32,,,,,,,,,,,,,,,,,
1976,287,3793,869,4.4,32,11,244,225,392,2032,18,21,4.8,111,445,1761,15,4.0,109,89,711,24,,,,,,,,,,,,,,,,,
1975,372,4623,939,4.9,26,16,274,202,361,2591,25,10,6.6,125,544,2032,21,3.7,124,89,750,25,,,,,,,,,,,,,,,,,
1974,344,4440,891,5.0,40,16,247,139,308,2025,22,24,6.0,95,555,2415,17,4.4,126,81,731,26,,,,,,,,,,,,,,,,,
1973,255,3827,854,4.5,21,9,196,144,312,1736,16,12,5.1,79,513,2091,7,4.1,102,79,738,15,,,,,,,,,,,,,,,,,
1972,249,4069,868,4.7,29,16,240,160,310,1736,14,13,5.0,89,520,2333,13,4.5,130,63,557,21,,,,,,,,,,,,,,,,,
1971,273,4194,848,4.9,40,16,232,156,339,1967,12,24,5.4,100,484,2227,14,4.6,115,86,772,17,,,,,,,,,,,,,,,,,
1970,265,4244,842,5.0,31,12,236,186,357,2238,16,19,5.7,120,451,2006,10,4.4,104,88,871,12,,,,,,,,,,,,,,,,,
1969,300,4454,841,5.3,41,22,257,202,387,2464,19,19,5.8,121,417,1990,18,4.8,120,72,746,16,,,,,,,,,,,,,,,,,
1968,273,4090,888,4.6,46,14,259,213,439,2248,19,32,4.8,130,423,1842,11,4.4,110,61,620,19,,,,,,,,,,,,,,,,,
1967,297,4666,954,4.9,36,14,281,250,454,2899,19,22,5.9,153,459,1767,15,3.8,115,57,655,13,,,,,,,,,,,,,,,,,
1966,259,4266,891,4.8,49,19,255,221,406,2372,14,30,5.4,124,450,1894,12,4.2,113,61,563,18,,,,,,,,,,,,,,,,,
1965,325,4712,869,5.4,32,8,265,204,419,2846,31,24,6.2,135,412,1866,11,4.5,104,62,586,26,,,,,,,,,,,,,,,,,
1964,293,4722,894,5.3,40,21,275,230,401,2710,18,19,6.3,137,465,2012,18,4.3,119,64,643,19,,,,,,,,,,,,,,,,,
1963,262,4126,860,4.8,32,10,242,208,408,2475,16,22,5.7,129,423,1651,10,3.9,99,63,592,14,,,,,,,,,,,,,,,,,
1962,257,3924,807,4.9,37,13,263,189,341,1984,15,24,5.8,125,466,1940,17,4.2,122,53,547,16,,,,,,,,,,,,,,,,,
1961,270,4131,769,5.4,38,18,243,200,358,2526,16,20,7.1,146,411,1605,16,3.9,87,38,367,10,,,,,,,,,,,,,,,,,
1960,217,3806,724,5.3,45,14,208,163,319,2163,15,31,6.8,102,405,1643,10,4.1,92,48,526,14,,,,,,,,,,,,,,,,,
1959,214,3764,679,5.5,30,12,205,168,319,2342,17,18,7.3,115,360,1422,9,4.0,75,32,285,15,,,,,,,,,,,,,,,,,
1958,217,3660,681,5.4,34,18,201,162,312,2212,20,16,7.1,104,369,1448,6,3.9,82,37,347,15,,,,,,,,,,,,,,,,,
1957,172,2802,638,4.4,31,12,164,105,242,1300,8,19,5.4,66,396,1502,11,3.8,79,42,412,19,,,,,,,,,,,,,,,,,
1956,177,3135,689,4.6,26,8,188,107,226,1103,7,18,4.9,62,463,2032,13,4.4,108,61,529,18,,,,,,,,,,,,,,,,,
1955,218,2841,674,4.2,40,15,171,126,323,1652,15,25,5.1,83,351,1189,11,3.4,65,58,560,23,,,,,,,,,,,,,,,,,
1954,162,2658,672,4.0,42,19,147,126,300,1608,15,23,5.4,73,372,1050,4,2.8,56,58,608,18,,,,,,,,,,,,,,,,,
1953,162,3575,763,4.7,41,16,206,164,389,2015,10,25,5.2,101,374,1560,11,4.2,89,40,335,16,,,,,,,,,,,,,,,,,
1952,213,3075,759,4.1,36,14,186,141,348,1689,17,22,4.9,95,411,1386,11,3.4,78,46,425,13,,,,,,,,,,,,,,,,,
1951,152,3002,758,4.0,51,29,201,151,330,1548,10,22,4.7,81,428,1454,8,3.4,88,59,505,32,,,,,,,,,,,,,,,,,
1950,144,2963,743,4.0,55,24,184,121,292,1390,8,31,4.8,71,451,1573,10,3.5,96,62,554,17,,,,,,,,,,,,,,,,,
1949,171,3582,770,4.7,42,13,156,120,304,1677,9,29,5.0,67,437,1905,13,4.4,75,45,359,14,,,,,,,,,,,,,,,,,
1948,190,3616,811,4.5,40,16,171,159,354,2097,14,24,5.6,74,436,1519,10,3.5,84,76,657,13,,,,,,,,,,,,,,,,,
1947,185,3888,833,4.7,51,19,188,129,303,1707,11,32,5.2,75,503,2181,12,4.3,102,47,385,11,,,,,,,,,,,,,,,,,
1946,137,2933,845,3.5,64,23,160,125,299,1317,8,41,4.4,56,546,1616,8,3.0,89,48,326,15,,,,,,,,,,,,,,,,,
