,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
12,2006,WildCard,Sun,"January 7, 2007",boxscore,L,,@,Philadelphia Eagles,20,23,17,305,154,151,1,19,323,138,185,,,,
13,2005,WildCard,Sun,"January 8, 2006",boxscore,L,,,Carolina Panthers,0,23,9,132,91,41,5,23,335,112,223,,,,
14,2002,WildCard,Sun,"January 5, 2003",boxscore,L,,@,San Francisco 49ers,38,39,26,446,327,119,1,23,446,356,90,2,,,
15,2000,Division,Sun,"January 7, 2001",boxscore,W,,,Philadelphia Eagles,20,10,15,237,125,112,3,11,186,140,46,3,,,
16,2000,ConfChamp,Sun,"January 14, 2001",boxscore,W,,,Minnesota Vikings,41,0,31,518,380,138,2,9,114,60,54,5,,,
17,2000,SuperBowl,Sun,"January 28, 2001",boxscore,L,,N,Baltimore Ravens,7,34,11,152,86,66,5,13,244,133,111,,,,
18,1997,WildCard,Sat,"December 27, 1997",boxscore,L,,,Minnesota Vikings,22,23,13,266,190,76,2,16,293,187,106,3,,,
19,1993,WildCard,Sun,"January 9, 1994",boxscore,W,,,Minnesota Vikings,17,10,17,270,94,176,,11,260,181,79,1,,,
20,1993,Division,Sat,"January 15, 1994",boxscore,L,,@,San Francisco 49ers,3,44,12,194,153,41,3,25,413,235,178,1,,,
21,1990,Division,Sun,"January 13, 1991",boxscore,W,,,Chicago Bears,31,3,23,288,94,194,1,11,232,205,27,2,,,
22,1990,ConfChamp,Sun,"January 20, 1991",boxscore,W,,@,San Francisco 49ers,15,13,20,311,159,152,,13,240,201,39,1,,,
23,1990,SuperBowl,Sun,"January 27, 1991",boxscore,W,,N,Buffalo Bills,20,19,24,386,214,172,,18,371,205,166,,,,
24,1989,Division,Sun,"January 7, 1990",boxscore,L,OT,,Los Angeles Rams,13,19,20,344,173,171,1,26,448,302,146,2,,,
25,1986,Division,Sun,"January 4, 1987",boxscore,W,,,San Francisco 49ers,49,3,21,366,150,216,,9,184,155,29,4,,,
26,1986,ConfChamp,Sun,"January 11, 1987",boxscore,W,,,Washington Redskins,17,0,12,199,82,117,3,12,190,150,40,2,,,
27,1986,SuperBowl,Sun,"January 25, 1987",boxscore,W,,N,Denver Broncos,39,20,24,399,263,136,,24,372,320,52,1,,,
28,1985,WildCard,Sun,"December 29, 1985",boxscore,W,,,San Francisco 49ers,17,3,21,355,181,174,1,19,362,268,94,2,,,
29,1985,Division,Sun,"January 5, 1986",boxscore,L,,@,Chicago Bears,0,21,10,181,149,32,1,17,363,216,147,,,,
30,1984,WildCard,Sun,"December 23, 1984",boxscore,W,,@,Los Angeles Rams,16,13,16,192,152,40,,12,214,107,107,2,,,
31,1984,Division,Sat,"December 29, 1984",boxscore,L,,@,San Francisco 49ers,10,21,18,260,173,87,3,22,412,281,131,3,,,
32,1981,WildCard,Sun,"December 27, 1981",boxscore,W,,@,Philadelphia Eagles,27,21,16,275,92,183,1,19,226,133,93,2,,,
33,1981,Division,Sun,"January 3, 1982",boxscore,L,,@,San Francisco 49ers,24,38,13,346,281,65,4,24,423,288,135,1,,,
34,1963,Championship,Sun,"December 29, 1963",boxscore,L,,@,Chicago Bears,10,14,17,268,140,128,6,14,222,129,93,2,,,
35,1962,Championship,Sun,"December 30, 1962",boxscore,L,,,Green Bay Packers,7,16,18,291,197,94,3,18,244,96,148,,,,
36,1961,Championship,Sun,"December 31, 1961",boxscore,L,,@,Green Bay Packers,0,37,6,130,99,31,5,19,345,164,181,,,,
37,1959,Championship,Sun,"December 27, 1959",boxscore,L,,@,Baltimore Colts,16,31,16,323,205,118,3,13,280,207,73,,,,
38,1958,Division,Sun,"December 21, 1958",boxscore,W,,,Cleveland Browns,10,0,17,317,106,211,4,7,86,62,24,4,,,
39,1958,Championship,Sun,"December 28, 1958",boxscore,L,OT,,Baltimore Colts,17,23,10,266,178,88,4,27,452,314,138,3,,,
40,1956,Championship,Sun,"December 30, 1956",boxscore,W,,,Chicago Bears,47,7,16,348,222,126,2,19,270,203,67,3,,,
41,1950,Division,Sun,"December 17, 1950",boxscore,L,,@,Cleveland Browns,3,8,11,154,13,141,2,9,182,29,153,1,,,
42,1946,Championship,Sun,"December 15, 1946",boxscore,L,,,Chicago Bears,14,24,13,248,128,120,8,10,245,144,101,3,,,
43,1944,Championship,Sun,"December 17, 1944",boxscore,L,,,Green Bay Packers,7,14,10,199,114,85,4,11,237,74,163,3,,,
44,1943,Division,Sun,"December 19, 1943",boxscore,L,,,Washington Redskins,0,28,8,112,57,55,3,13,296,213,83,3,,,
45,1941,Championship,Sun,"December 21, 1941",boxscore,L,,@,Chicago Bears,9,37,8,157,73,84,5,20,389,182,207,1,,,
46,1939,Championship,Sun,"December 10, 1939",boxscore,L,,@,Green Bay Packers,0,27,9,168,98,70,6,13,232,96,136,3,,,
47,1938,Championship,Sun,"December 11, 1938",boxscore,W,,,Green Bay Packers,23,17,10,212,97,115,1,14,378,214,164,3,,,
48,1935,Championship,Sun,"December 15, 1935",boxscore,L,,@,Detroit Lions,7,26,9,194,88,106,2,16,297,51,246,2,,,
49,1934,Championship,Sun,"December 9, 1934",boxscore,W,,,Chicago Bears,30,13,12,276,103,173,4,10,165,76,89,3,,,
50,1933,Championship,Sun,"December 17, 1933",boxscore,L,,@,Chicago Bears,21,23,13,307,208,99,1,12,311,150,161,1,,,
