Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2010,377,5235,998,5.2,34,11,309,309,536,3469,31,23,6.0,185,423,1766,12,4.2,91,87,724,33,194,31.4,17.0,Own 27.7,2:22,5.3,26.9,1.83,209,80,38.3%,12,5,41.7%,43,33,76.7%
2009,337,5137,1037,5.0,38,13,295,354,580,3462,27,25,5.5,179,413,1675,11,4.1,81,104,789,35,197,29.9,17.3,Own 31.7,2:35,5.4,26.0,1.67,221,73,33.0%,30,17,56.7%,51,29,56.9%
2008,289,4389,994,4.4,29,14,248,284,525,2913,19,15,5.1,144,421,1476,7,3.5,79,81,598,25,198,25.3,13.6,Own 31.1,2:23,5.2,22.1,1.28,227,73,32.2%,14,5,35.7%,36,19,52.8%
2007,300,4982,979,5.1,19,8,279,312,539,3449,16,11,6.0,177,403,1533,10,3.8,80,81,616,22,187,30.5,10.2,Own 32.0,2:29,5.4,26.6,1.47,218,81,37.2%,13,3,23.1%,55,20,36.4%
2006,328,5249,1054,5.0,29,10,314,309,525,3067,17,19,5.4,154,489,2182,12,4.5,126,96,795,34,186,30.1,15.1,Own 29.2,2:44,5.8,28.2,1.55,222,83,37.4%,21,10,47.6%,43,21,48.8%
2005,388,5206,1038,5.0,27,10,290,297,503,3323,24,17,6.2,171,506,1883,15,3.7,91,112,910,28,209,29.2,11.5,Own 32.0,2:27,5.1,24.8,1.62,233,80,34.3%,11,7,63.6%,52,29,55.8%
2004,260,5115,1039,4.9,28,11,299,334,550,3212,16,17,5.4,165,442,1903,13,4.3,101,119,1001,33,183,25.1,13.1,Own 29.8,2:47,5.8,28.0,1.39,229,82,35.8%,19,9,47.4%,46,22,47.8%
2003,287,5307,1058,5.0,26,13,306,337,559,3236,17,13,5.4,171,461,2071,13,4.5,116,129,1105,19,187,27.8,13.4,Own 30.2,2:43,5.8,28.1,1.48,221,78,35.3%,22,8,36.4%,42,20,47.6%
2002,241,4754,1009,4.7,38,23,272,333,563,3094,18,15,5.0,160,390,1660,5,4.3,83,112,969,29,194,20.6,18.0,Own 28.4,2:23,5.3,24.3,1.09,213,66,31.0%,23,9,39.1%,38,16,42.1%
2001,208,4701,1017,4.6,33,19,262,288,517,2864,13,14,5.1,150,455,1837,6,4.0,88,85,741,24,199,21.1,14.1,Own 29.6,2:32,5.3,23.5,1.02,232,71,30.6%,13,7,53.8%,46,14,30.4%
2000,245,4820,1055,4.6,31,12,295,314,552,2990,11,19,5.0,159,453,1830,10,4.0,105,111,936,31,195,25.1,14.9,Own 31.7,2:34,5.6,24.6,1.18,221,72,32.6%,24,14,58.3%,40,14,35.0%
1999,357,5462,1124,4.9,46,18,328,322,568,3461,22,28,5.7,171,519,2001,12,3.9,125,89,719,32,220,31.8,20.5,Own 34.7,2:25,5.3,24.7,1.57,232,88,37.9%,15,9,60.0%,65,27,41.5%
1998,344,5136,1019,5.0,17,8,286,249,449,2720,18,9,5.5,133,528,2416,18,4.6,125,113,904,28,,,,,,,,,,,,,,,,,
1997,372,4932,1009,4.9,26,12,286,259,490,2923,20,14,5.5,150,476,2009,16,4.2,115,86,708,21,,,,,,,,,,,,,,,,,
1996,341,4562,961,4.7,31,12,264,271,500,2979,18,19,5.5,150,421,1583,12,3.8,87,99,710,27,,,,,,,,,,,,,,,,,
1995,338,4638,1013,4.6,38,19,281,268,499,2816,14,19,5.1,154,466,1822,14,3.9,102,87,727,25,,,,,,,,,,,,,,,,,
1994,308,4710,981,4.8,35,14,275,251,490,3094,20,21,5.8,151,449,1616,11,3.6,94,98,844,30,,,,,,,,,,,,,,,,,
1993,315,5019,966,5.2,35,15,271,251,463,2939,22,20,5.9,155,467,2080,11,4.5,91,85,610,25,,,,,,,,,,,,,,,,,
1992,245,4412,959,4.6,37,13,242,263,517,2931,20,24,5.1,146,387,1481,4,3.8,73,86,683,23,,,,,,,,,,,,,,,,,
1991,244,3549,905,3.9,48,22,206,206,467,2413,16,26,4.6,133,383,1136,4,3.0,53,105,881,20,,,,,,,,,,,,,,,,,
1990,299,4660,948,4.9,30,11,251,273,566,3491,23,19,5.7,169,337,1169,9,3.5,59,94,706,23,,,,,,,,,,,,,,,,,
1989,274,4894,1017,4.8,56,26,281,258,529,3289,26,30,5.6,171,426,1605,6,3.8,81,118,956,29,,,,,,,,,,,,,,,,,
1988,319,5799,1086,5.3,44,12,311,309,578,4147,23,32,6.7,199,466,1652,11,3.5,85,115,897,27,,,,,,,,,,,,,,,,,
1987,380,5249,1046,5.0,48,27,301,305,561,3606,29,21,5.8,186,428,1643,16,3.8,85,105,830,30,,,,,,,,,,,,,,,,,
1986,312,5224,1043,5.0,36,13,278,260,532,3235,21,23,5.5,156,458,1989,14,4.3,97,115,884,25,,,,,,,,,,,,,,,,,
1985,310,5135,1057,4.9,32,14,307,251,478,2930,18,18,5.5,160,526,2205,17,4.2,122,99,834,25,,,,,,,,,,,,,,,,,
1984,320,5239,1108,4.7,31,11,307,262,492,3050,22,20,5.5,171,556,2189,12,3.9,123,96,904,13,,,,,,,,,,,,,,,,,
1983,322,5447,1099,5.0,23,15,310,247,430,2792,20,8,6.0,149,633,2655,14,4.2,144,94,755,17,,,,,,,,,,,,,,,,,
1982,195,2938,614,4.8,27,12,177,168,285,1907,14,15,6.1,100,299,1031,5,3.4,68,45,341,9,,,,,,,,,,,,,,,,,
1981,221,4447,1023,4.3,47,21,266,248,507,2696,12,26,4.9,137,476,1751,11,3.7,102,91,813,27,,,,,,,,,,,,,,,,,
1980,222,4443,1032,4.3,35,10,270,265,543,2825,16,25,4.8,157,445,1618,8,3.6,87,87,789,26,,,,,,,,,,,,,,,,,
1979,282,4745,1019,4.7,33,11,274,243,459,2474,18,22,4.9,125,515,2271,16,4.4,128,86,681,21,,,,,,,,,,,,,,,,,
1978,250,4635,977,4.7,48,20,248,228,443,2773,17,28,5.9,136,505,1862,11,3.7,92,104,884,20,,,,,,,,,,,,,,,,,
1977,207,3793,926,4.1,34,13,216,183,358,1876,14,21,4.6,106,521,1917,10,3.7,95,84,698,15,,,,,,,,,,,,,,,,,
1976,286,4603,955,4.8,24,15,262,237,404,2550,17,9,6.0,129,532,2053,16,3.9,113,105,907,20,,,,,,,,,,,,,,,,,
1975,302,4771,970,4.9,44,18,275,226,424,2538,13,26,5.8,123,529,2233,20,4.2,130,97,784,22,,,,,,,,,,,,,,,,,
1974,217,4270,922,4.6,34,16,248,230,434,2473,9,18,5.4,129,460,1797,14,3.9,105,86,722,14,,,,,,,,,,,,,,,,,
1973,393,5062,903,5.6,30,15,286,219,370,2639,22,15,6.7,135,512,2423,22,4.7,136,73,692,15,,,,,,,,,,,,,,,,,
1972,352,4738,879,5.4,27,8,268,175,318,2472,20,19,7.4,117,544,2266,22,4.2,137,72,637,14,,,,,,,,,,,,,,,,,
1971,302,4622,889,5.2,47,25,251,220,407,2660,16,22,6.1,129,450,1962,16,4.4,104,94,908,18,,,,,,,,,,,,,,,,,
1970,332,3953,804,4.9,28,18,213,161,313,1889,16,10,5.4,95,457,2064,16,4.5,102,90,991,16,,,,,,,,,,,,,,,,,
1969,377,4978,936,5.3,29,14,268,243,444,3069,23,15,6.5,136,467,1909,15,4.1,111,79,950,21,,,,,,,,,,,,,,,,,
1968,351,4514,863,5.2,20,7,256,182,327,2373,20,13,6.8,111,515,2141,18,4.2,128,76,843,17,,,,,,,,,,,,,,,,,
1967,409,4972,937,5.3,35,14,286,255,480,3231,29,21,6.4,161,434,1741,16,4.0,105,67,715,20,,,,,,,,,,,,,,,,,
1966,340,4370,870,5.0,35,15,249,226,446,2677,23,20,5.6,139,390,1693,13,4.3,90,63,703,20,,,,,,,,,,,,,,,,,
1965,359,4418,849,5.2,36,11,243,215,393,2836,28,25,6.6,129,419,1582,11,3.8,100,66,653,14,,,,,,,,,,,,,,,,,
1964,313,4317,898,4.8,29,12,234,202,406,2571,18,17,5.7,128,445,1746,15,3.9,93,71,748,13,,,,,,,,,,,,,,,,,
1963,381,4821,870,5.5,30,15,266,211,375,2836,28,15,7.0,131,466,1985,17,4.3,125,54,598,10,,,,,,,,,,,,,,,,,
1962,356,5046,889,5.7,39,13,275,198,363,2920,16,26,8.0,129,526,2126,23,4.0,128,48,479,18,,,,,,,,,,,,,,,,,
1961,297,4927,857,5.7,33,16,267,224,383,2920,23,17,7.6,145,474,2007,12,4.2,116,62,684,6,,,,,,,,,,,,,,,,,
1960,246,4027,732,5.5,45,15,205,139,283,1827,14,30,6.5,81,449,2200,14,4.9,117,54,597,7,,,,,,,,,,,,,,,,,
1959,278,3938,721,5.5,40,20,220,144,292,1870,17,20,6.4,101,429,2068,15,4.8,103,47,457,16,,,,,,,,,,,,,,,,,
1958,306,4047,777,5.2,27,12,225,138,289,2118,22,15,7.3,100,488,1929,15,4.0,101,74,722,24,,,,,,,,,,,,,,,,,
1957,230,3683,708,5.2,36,19,199,133,257,1969,10,17,7.7,94,451,1714,15,3.8,83,65,642,22,,,,,,,,,,,,,,,,,
1956,215,3226,756,4.3,27,11,200,114,243,1333,15,16,5.5,69,513,1893,10,3.7,110,76,686,21,,,,,,,,,,,,,,,,,
1955,231,3231,727,4.4,36,20,174,124,272,1594,12,16,5.9,69,455,1637,12,3.6,89,57,463,16,,,,,,,,,,,,,,,,,
1954,230,2747,699,3.9,50,22,171,143,345,1684,13,28,4.9,84,354,1063,8,3.0,64,58,589,23,,,,,,,,,,,,,,,,,
1953,215,2998,705,4.3,41,17,186,167,374,1881,17,24,5.0,98,331,1117,6,3.4,69,63,606,19,,,,,,,,,,,,,,,,,
1952,271,3150,751,4.2,39,19,187,157,343,1754,19,20,5.1,93,408,1396,12,3.4,81,74,699,13,,,,,,,,,,,,,,,,,
1951,264,3294,749,4.4,37,19,183,119,287,1478,17,18,5.1,77,462,1816,12,3.9,92,53,458,14,,,,,,,,,,,,,,,,,
1950,141,3049,668,4.6,48,17,141,102,277,1446,10,31,5.2,65,391,1603,5,4.1,66,73,590,10,,,,,,,,,,,,,,,,,
1949,134,2465,656,3.8,43,14,148,121,303,1248,11,29,4.1,68,353,1217,5,3.4,60,62,533,20,,,,,,,,,,,,,,,,,
1948,156,3160,714,4.4,39,16,158,139,338,1951,14,23,5.8,83,376,1209,5,3.2,62,87,860,13,,,,,,,,,,,,,,,,,
1947,242,3739,714,5.2,36,13,188,151,334,2410,19,23,7.2,86,380,1329,13,3.5,75,110,1017,27,,,,,,,,,,,,,,,,,
1946,220,2483,638,3.9,44,18,146,95,220,1360,11,26,6.2,56,418,1123,17,2.7,72,91,817,18,,,,,,,,,,,,,,,,,
1945,133,2060,523,3.9,26,7,104,89,205,1243,10,19,6.1,37,318,817,8,2.6,54,56,422,13,,,,,,,,,,,,,,,,,
1944,131,1937,552,3.5,37,4,86,105,231,1379,12,33,6.0,35,321,558,6,1.7,43,79,570,8,,,,,,,,,,,,,,,,,
1943,230,2186,533,4.1,30,8,96,102,221,1393,15,22,6.3,41,312,793,15,2.5,42,59,466,13,,,,,,,,,,,,,,,,,
1942,239,2958,642,4.6,28,10,131,79,178,1241,12,18,7.0,40,464,1717,20,3.7,78,51,452,13,,,,,,,,,,,,,,,,,
1941,218,2887,670,4.3,31,10,126,100,238,1369,13,21,5.8,47,432,1518,14,3.5,72,50,455,7,,,,,,,,,,,,,,,,,
1940,211,2790,611,4.6,25,13,,80,151,1012,9,12,6.7,,460,1778,18,3.9,,0,0,,,,,,,,,,,,,,,,,,
1939,200,2951,665,4.4,30,13,,98,210,1290,11,17,6.1,,455,1661,11,3.7,,0,0,,,,,,,,,,,,,,,,,,
1938,164,3251,660,4.9,33,17,,97,197,1396,7,16,7.1,,463,1855,12,4.0,,0,0,,,,,,,,,,,,,,,,,,
1937,177,3127,698,4.5,36,17,,79,196,1315,15,19,6.7,,502,1812,6,3.6,,0,0,,,,,,,,,,,,,,,,,,
1936,206,2826,615,4.6,44,29,,61,147,853,10,15,5.8,,468,1973,12,4.2,,0,0,,,,,,,,,,,,,,,,,,
1935,179,2568,611,4.2,53,30,,59,168,871,6,23,5.2,,443,1697,15,3.8,,0,0,,,,,,,,,,,,,,,,,,
1934,85,2203,546,4.0,22,0,,41,135,545,1,22,4.0,,411,1658,9,4.0,,0,0,,,,,,,,,,,,,,,,,,
1933,158,2306,484,4.8,19,0,,63,176,1223,8,19,6.9,,308,1083,11,3.5,,0,0,,,,,,,,,,,,,,,,,,
