,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108,Feature 109,Feature 110,Feature 111,Feature 112,Feature 113,Feature 114,Feature 115,Feature 116,Feature 117,Feature 118,Feature 119,Feature 120,Feature 121,Feature 122,Feature 123,Feature 124,Feature 125,Feature 126,Feature 127,Feature 128,Feature 129,Feature 130,Feature 131,Feature 132,Feature 133,Feature 134,Feature 135,Feature 136,Feature 137,Feature 138,Feature 139,Feature 140,Feature 141,Feature 142,Feature 143,Feature 144,Feature 145,Feature 146,Feature 147,Feature 148,Feature 149,Feature 150,Avg 2Y Win Pct,Coach Tenure Class
16,Andy Reid,1999,41,0,6,3,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296875,-1.2517224817380335,0.4265309325986473,-0.14490490854162374,-0.07303603421972199,-0.8623130756371834,-0.1057005407677187,-1.0960639167957056,0.01895294976063769,0.0,0.5,2
17,Andy Reid,2013,55,1,6,3,0,7,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3772999877978998,0.37441171109406934,0.44949180883733353,0.04351488548820824,0.03152966181578841,0.13908078834006968,0.418941219465177,0.23724578776043195,0.393737766598978,-0.360748187229922,-0.06543505838412592,-0.021285226022545834,-0.48412023077406063,0.19553343523768354,0.012758409696387482,0.9232990277526263,0.1419863636074148,0.41734566280096186,0.4285086244536961,-0.20404735724479234,0.6542200496584641,0.18753748185147354,-0.2399095485982433,-0.7029699271031349,-0.47883673060273907,0.04923745699170227,0.15457903814203616,0.15209867789322287,-0.15008762097067224,-0.5469493029121949,0.035707378267847374,0.1250403934967209,0.038257201968767314,-0.46206449888234935,-0.31271718262207227,-0.6191106599732012,0.3156511125744653,-0.23784557241451296,-0.045850879382660824,0.24115705926661457,-0.44814942461995955,-0.16368810536172682,0.10764447970470314,-0.7221757652483332,-0.49836138544548314,0.11108860944521247,0.005381860824792679,-0.5436422657391903,-0.07336296902490744,-0.07982186899546033,0.06802927671383543,0.051499631313897634,0.6764785182951446,0.7301110730512408,-0.6280627052596383,0.12426950406031743,-0.23064309822268528,-0.33365865766280617,-0.5991065508207519,-0.5987392991491766,0.5469489936285793,-0.7613535661039862,0.5558850580989814,-0.2725629141302274,-0.251869551109947,-0.3232813964217323,0.28125,-1.8740041040368096,0.38612669584219517,-0.7739937871302652,-0.058090003846436894,-0.8567599093806872,0.5010306797605826,-0.7628870774405786,1.1326419276933666,0.0,0.625,2
18,Andy Salata,1930,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4166666666666667,-0.9714332304155184,-0.5952351020489823,,,,,,,,0.16666666666666666,0
19,Anthony Lynn,2017,49,0,0,0,0,13,1,0,0.5325864530258138,0.1162524369148896,0.2495037323031011,-1.5308812646606276,0.1190102201426367,-1.7908888576382118,-1.950011020549127,-1.6706152321121113,-1.060954600179788,-1.145397679189479,-0.8004009440213756,-1.7267354081883048,1.9339622387765016,3.0543025182517,3.0232889191850822,2.474349818987601,2.795078298130721,0.3296785905058503,0.2580023773134327,-0.5468143324579671,-0.6569195844093474,0.1396803853517096,-1.3742408374224058,0.2491648441263063,0.3653439453719336,0.3075642271507575,0.5601448050496498,-0.0474173347355191,0.3164277377455916,0.0068042956830652,0.1099101305824073,0.258918358615843,1.0970288694259769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28125,-0.024374046745203437,0.8479187283377057,0.45803052958145235,0.08619141030695421,0.009479603521514807,0.519128968432361,0.2685210361909483,1.0791321632772326,0.0,0.65625,1
20,Archie Golembeski,1925,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5416666666666666,0
21,Arnie Horween,1923,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6136363636363636,0.120142038682706,-0.37430749522975393,,,,,,,0.0,0.6083333333333334,0
22,Art Lewis,1938,27,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,-1.3298672037533623,1.8558621600403835,-1.4270347238871788,0.828476985371065,-1.536963228347653,1.1642294375924538,-1.9078255917837423,0.078688947536463,0.0,0.5,0
23,Art Shell,1989,43,0,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38541666666666663,-0.2002840269504958,0.09181184973626155,0.2098785954941099,-0.4043520779640067,0.27104365976624223,-0.23647261667509695,-0.5657899868829943,-0.5294117531452065,0.0,0.6666666666666667,2
24,Art Shell,2006,60,1,0,0,0,12,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18594543526971272,-0.4747295631156212,0.20671960424799998,-0.2349268398787494,-0.7871765469304236,-1.383373088781681,-1.1946423392500705,-0.49288206636605963,0.04364492066587011,-0.10292978672545146,0.5225880358196813,-0.8377105252049519,-0.03008220654192491,-0.13248533563080897,-0.49876529455666324,-0.11067892500836184,-0.2847587735732724,1.617455542715164,1.5164190238600872,0.03803936860955362,,,,,,,,,,,,,,-0.2086299611774286,-0.4412033340401256,-0.6397056785066644,-1.046233663175187,0.07712536835737499,-0.6960496405136478,-0.433598444610924,-0.5865826477783208,-0.36958381181858674,-0.7274364510861179,-0.42081361157761615,-0.5193734909360039,0.411995661466178,0.019464121677896018,0.16012630864933405,-0.43294476529755815,0.22446206684208556,0.36237994212164,0.2676194503834359,0.9601915479202944,,,,,,,,,,,,,,0.28125,-0.47651853076979955,1.292270708146926,-0.14144808840357703,0.9877223659599594,0.17703608067441795,0.3669003267244728,-1.489343222617913,0.12484086562612373,0.0,0.125,0
25,Arthur Smith,2021,39,0,0,0,0,4,2,0,0.9790778734692096,0.8071766662147238,1.3196221590242565,-1.260548848740557,0.4808625181443873,-1.3453447523842543,-1.5999109346550946,-0.3525435845853328,0.7107793851717048,-1.1317494719728567,1.0832692833068958,-0.3425312926034436,1.1608038642611143,1.5870338615004451,1.683544565785977,1.6878227969340116,0.8478036443505873,-0.5153477419877439,0.08432406422430044,0.5976473377621818,-0.0744377232715373,0.2837413432470144,-1.2844331869390415,-0.6179838440689482,-0.4252173599138749,0.6894590806809274,0.8916204645799347,-1.5232229962351314,0.41583425353495107,-0.8315734426032246,-0.4801141458594237,0.25532147760967605,1.9713488080928214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34375,0.1158529478456057,0.41484237746602165,0.5828755679470032,0.6828120464307428,-0.0639555250091154,1.099965258805509,-0.16604307886859337,-0.07644029748175177,0.0,0.4117647058823529,-1
26,Babe Ruetz,1922,29,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5454545454545454,1
27,Barry Switzer,1994,57,0,5,7,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,1.4924925997796876,-1.2664207158785659,1.2692829626810347,-1.3117164552316223,1.243839915024139,-1.0161684226704695,-0.3464387104125617,-1.3375510213271027,2.0,0.75,1
28,Bart Starr,1975,41,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,-0.9558092320799028,-0.6409695433189593,-1.14472468300673,-0.6005646554131459,-1.0674118435525766,-0.565619415542791,0.0873376279740971,-0.05464892380660841,0.0,0.3214285714285714,2
29,Ben McAdoo,2016,39,0,2,0,0,8,2,0,0.5917739859774749,0.6259867001311766,0.2899847575660043,0.18367806623199862,0.38985190688678295,0.7200678621457464,0.8395137989868191,0.8811980779297081,1.0004784523499066,0.0344076442603316,0.5047967933678161,0.5763493295489038,-0.0007754881721349083,-0.48814741318187815,-0.546255419020404,-0.8060061236688505,-0.7243393535623954,-0.47139027781021664,-0.6092246647158374,1.3143207407136763,0.4047869882577697,0.41089193559634596,-0.0017402764074894023,-0.5119540866364655,0.24744257776704465,0.3312667058235492,0.44223503167049183,0.9541498741455541,0.20972368979538206,0.3560162572747727,-0.4337452626678571,0.8766452928941556,-0.35793990408063403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,0.5917739859774749,1.0634901967155714,0.6259867001311766,1.6135248624712863,0.2899847575660043,1.5161308055446572,0.6217568370029424,0.18367806623199862,0.0,0.4270833333333333,0
30,Benny Friedman,1930,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6423076923076924,1.040835222515884,0.15458066596414832,,,,,,,0.0,1.0,0
31,Benny Friedman,1932,27,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1715952246920747,,,,,,,,1.620760831104266,,,,,,2.051629516620725,,,,,,,,,,,,,,,,,,,-0.6215230116066707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3839285714285714,-0.2575151707586093,0.6444796476528822,,,,,,,,0.25,0
32,Bert Bell,1936,41,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2727272727272727,-0.5891706505633796,0.3740246123390884,-0.24415472175891378,0.3249241401272997,-0.3455835945600222,0.7049311724135247,0.2367956097700128,0.6865287694099004,0.0,0.1553030303030303,2
33,Bert Bell,1941,46,1,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.834888457642456,-1.2899619270796738,-1.259436010044083,0.4613366122983538,-1.2646007490724411,0.06134057992296453,0.7733553031272934,-0.3001400253791181,-0.2668896511758307,0.4613366122983538,-1.318442534004669,,-1.4654007851130229,-1.4902459081745931,-1.2621502951714365,-1.2640667227232107,,,-1.0941212831801503,,,,,,,,,,,,,,,1.0297975962499746,1.1124687043333787,1.332253216313735,-0.6075635450264276,,0.3048255383684525,-0.5538861208933298,-0.08712926803983075,0.3766193494344402,-0.9629842371091598,0.884745932535204,,0.9212293684254729,1.4507718001498466,0.8307945001685647,1.4470280705240126,,,,,,,,,,,,,,,,,,0.20454545454545453,-1.315627444721041,0.6483542537828693,-1.1654788869859911,0.6153389945812819,-1.260790767337764,0.5742787439598482,-1.4178626533665273,1.3189433283261138,0.0,0.0,0
