,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Avg 2Y Win Pct,Coach Tenure Class
471,Mel Tucker,2011,39,0,5,1,0,3,3,0,0,,,,0.20430107526881722,0.3118279569892473,0.4731182795698925,,,,0.46875,0.3225806451612903,0.24193548387096775,0.3064516129032258,0.33333333333333337,0.0,0.0,0.4,0
472,Mike Ditka,1982,43,0,0,0,0,9,0,0,0,,,,,,,,,,0.40625,0.3703703703703704,0.3888888888888889,0.29629629629629634,0.25,0.0,0.0,0.41666666666666663,3
473,Mike Ditka,1997,58,1,0,0,0,9,0,11,0,,,,,,,0.7407407407407408,0.6666666666666666,0.5353535353535354,0.3125,0.4310344827586207,0.20689655172413796,0.22413793103448276,0.0,0.0,0.0,0.375,1
474,Mike Getto,1942,37,0,12,0,0,0,0,0,0,,,,,,,,,,0.6818181818181819,0.6666666666666667,0.6666666666666667,0.6111111111111112,0.75,,,0.2727272727272727,0
475,Mike Holmgren,1992,44,0,4,1,0,3,3,0,0,0.9629629629629629,0.8888888888888888,0.7160493827160495,,,,,,,0.3125,0.11111111111111116,0.2222222222222222,0.2222222222222222,0.25,0.0,0.0,0.5625,2
476,Mike Holmgren,1999,51,1,4,1,0,3,3,7,0,0.9629629629629629,0.8888888888888888,0.7160493827160495,,,,0.7613574165298304,0.8244845831052727,0.5006385696040868,0.5,0.5862068965517242,0.6206896551724137,0.48275862068965514,0.5,0.0,0.0,0.46875,3
477,Mike Holovak,1961,42,0,2,0,9,1,0,0,0,,,,,,,,,,0.20833333333333331,0.30303030303030304,0.041666666666666685,0.0,0.09999999999999998,0.0,0.0,0.7559523809523809,3
478,Mike Holovak,1976,57,1,2,0,9,5,0,8,1,,,,,,,0.7104395604395605,0.7232142857142857,0.6969322344322344,0.35714285714285715,0.18,0.21999999999999997,0.22000000000000003,0.25,0.0,0.0,0.0,0
479,Mike Martz,2000,49,0,3,5,0,5,1,0,0,1.0,1.0,0.6,,,,,,,0.53125,0.41839080459770117,0.5862068965517242,0.6379310344827587,0.5,0.5,1.5,0.75,2
480,Mike McCarthy,2006,43,0,1,0,0,7,6,0,0,0.5075268817204301,0.5768817204301074,0.48387096774193544,,,,,,,0.4375,0.09677419354838707,0.532258064516129,0.8064516129032259,0.5,0.5,0.0,0.65625,3
